 [2018-09-04 07:52:58,040] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:52:58,041] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:52:58,041] INFO: < Fin UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 07:53:00,035] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:00,035] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:00,035] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:00,035] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:00,035] INFO: > Début UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 07:53:00,035] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:00,037] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:00,037] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:00,037] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:00,037] INFO: < Fin UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 07:53:02,030] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:02,030] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:02,030] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:02,030] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:02,030] INFO: > Début UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 07:53:02,030] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:02,031] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:02,031] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:02,032] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:02,032] INFO: < Fin UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 07:53:04,031] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:04,031] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:04,031] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:04,031] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:04,031] INFO: > Début UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 07:53:04,031] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:04,032] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:04,032] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:04,032] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:04,032] INFO: < Fin UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 07:53:06,030] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:06,030] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:06,030] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:06,030] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:06,030] INFO: > Début UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 07:53:06,030] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:06,031] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:06,031] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:06,032] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:06,032] INFO: < Fin UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 07:53:08,031] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:08,031] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:08,031] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:08,031] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:08,031] INFO: > Début UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 07:53:08,031] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:08,032] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:08,032] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:08,033] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:08,033] INFO: < Fin UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 07:53:10,034] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:10,034] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:10,034] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:10,034] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:10,034] INFO: > Début UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 07:53:10,034] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:10,035] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:10,035] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:10,036] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:10,036] INFO: < Fin UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 07:53:12,066] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:12,066] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:12,066] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:12,066] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:12,066] INFO: > Début UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 07:53:12,066] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:12,068] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:12,068] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:12,069] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:12,069] INFO: < Fin UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 07:53:14,035] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:14,035] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:14,035] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:14,035] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:14,035] INFO: > Début UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 07:53:14,035] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:14,036] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:14,036] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:14,037] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:14,037] INFO: < Fin UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 07:53:16,048] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:16,048] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:16,048] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:16,048] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:16,048] INFO: > Début UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 07:53:16,048] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:16,049] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:16,049] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:16,050] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:16,050] INFO: < Fin UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 07:53:18,032] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:18,032] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:18,032] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:18,032] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:18,032] INFO: > Début UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 07:53:18,032] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:18,033] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:18,033] INFO: > Début UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:18,035] INFO: < Fin UserBusinessImpl.updateUser [ma.gloster.microservice.business.UserBusinessImpl]
 [2018-09-04 07:53:18,035] INFO: < Fin UserWriterImpl.write [ma.gloster.microservice.batch.writer.UserWriterImpl]
 [2018-09-04 07:53:20,034] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:20,035] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:20,035] INFO: > Début UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
 [2018-09-04 07:53:20,035] INFO: < Fin UserProcessor.process [ma.gloster.microservice.batch.processor.UserProcessorImpl]
